unnamed: 0,job title,job type,company name,posted date,cities,states,stipend,start date,duration,numer of openings,late date to apply,combined_text
987,THE URBAN LEARNING INTERNSHIP PROGRAM (TULIP),Part Time,GADAG BETGAERI CITY MUNICIPAL COUNCIL,16-10-2024,Gadag,Karnataka,1666 /month,Immediately,3 Months,15.0,18-10-2024,THE URBAN LEARNING INTERNSHIP PROGRAM (TULIP) GADAG BETGAERI CITY MUNICIPAL COUNCIL Gadag Karnataka 1666 /month 3 Months
988,DAY NULM INTERNS,Full Time,"TOWN MUNICIPAL COUNCIL, SANKESHWAR",17-10-2024,Sankeshwar,Karnataka,5000 /month,Immediately,3 Months,2.0,30-10-2024,"DAY NULM INTERNS TOWN MUNICIPAL COUNCIL, SANKESHWAR Sankeshwar Karnataka 5000 /month 3 Months"
989,DAY-NULM AND PMSVANIDHI,Full Time,TOWN MUNICIPAL COUNCIL KUMTA,19-10-2024,Kumta,Karnataka,Unpaid,Immediately,3 Months,1.0,23-10-2024,DAY-NULM AND PMSVANIDHI TOWN MUNICIPAL COUNCIL KUMTA Kumta Karnataka Unpaid 3 Months
990,PM SVANIDHI INTERNSHIP,Part Time,BRUHAT BENGALURU MAHANAGARA PALIKE,19-10-2024,Bangalore Urban,Karnataka,5000 /month,Immediately,3 Months,15.0,21-10-2024,PM SVANIDHI INTERNSHIP BRUHAT BENGALURU MAHANAGARA PALIKE Bangalore Urban Karnataka 5000 /month 3 Months
991,DAY NULM INTERNSHIP,Full Time,TOWN MUNCIPAL COUNCIL KEMBHAVI,23-10-2024,Kembhavi,Karnataka,1666 /month,Immediately,3 Months,7.0,07-11-2024,DAY NULM INTERNSHIP TOWN MUNCIPAL COUNCIL KEMBHAVI Kembhavi Karnataka 1666 /month 3 Months
992,PM SVANIDHI INTERNSHIP,Part Time,BRUHAT BENGALURU MAHANAGARA PALIKE,23-10-2024,Bangalore Urban,Karnataka,5000 /month,Immediately,3 Months,15.0,25-10-2024,PM SVANIDHI INTERNSHIP BRUHAT BENGALURU MAHANAGARA PALIKE Bangalore Urban Karnataka 5000 /month 3 Months
993,PMFME AND IEC,Full Time,CITY MUNICIPAL COUNCIL RANEBENNUR,24-10-2024,Ranebennur,Karnataka,1666 /month,Immediately,3 Months,1.0,30-11-2024,PMFME AND IEC CITY MUNICIPAL COUNCIL RANEBENNUR Ranebennur Karnataka 1666 /month 3 Months
994,STUDY ON URBAN SHELTER HOMES - NULM,Full Time,CITY MUNICIPAL COUNCIL RANEBENNUR,24-10-2024,Ranebennur,Karnataka,1666 /month,Immediately,3 Months,1.0,30-11-2024,STUDY ON URBAN SHELTER HOMES - NULM CITY MUNICIPAL COUNCIL RANEBENNUR Ranebennur Karnataka 1666 /month 3 Months
995,SUPPORT TO URBAN STREET VENDORS,Full Time,CITY MUNICIPAL COUNCIL RANEBENNUR,24-10-2024,Ranebennur,Karnataka,1666 /month,Immediately,3 Months,2.0,30-11-2024,SUPPORT TO URBAN STREET VENDORS CITY MUNICIPAL COUNCIL RANEBENNUR Ranebennur Karnataka 1666 /month 3 Months
996,DAY-NULM/PM SVANIDHI INTERN,Part Time,Mangaluru City Corporation,25-10-2024,Mangalore,Karnataka,2500 /month,Immediately,2 Months,14.0,08-11-2024,DAY-NULM/PM SVANIDHI INTERN Mangaluru City Corporation Mangalore Karnataka 2500 /month 2 Months
997,DAY-NULM/PM SVANIDHI INTERN,Part Time,Kadaba Town Panchayath,28-10-2024,Puttur,Karnataka,2500 /month,Immediately,2 Months,3.0,08-11-2024,DAY-NULM/PM SVANIDHI INTERN Kadaba Town Panchayath Puttur Karnataka 2500 /month 2 Months
998,ANALYSING THE ROLE OF MICRO ENTREPRENEURSHIP AND SELF HELP GROUPS IN WOMEN EMPOWERMENT AND DEVELOPMENT,Full Time,City Municipal Council Haveri,28-10-2024,Haveri,Karnataka,2500 /month,Immediately,3 Months,1.0,07-11-2024,ANALYSING THE ROLE OF MICRO ENTREPRENEURSHIP AND SELF HELP GROUPS IN WOMEN EMPOWERMENT AND DEVELOPMENT City Municipal Council Haveri Haveri Karnataka 2500 /month 3 Months
999,IMPROVED LIFE STYLE OF MEMBERS THROUGH SELF HELP GROUPS,Part Time,City Municipal Council Haveri,28-10-2024,Haveri,Karnataka,2500 /month,Immediately,3 Months,1.0,31-10-2024,IMPROVED LIFE STYLE OF MEMBERS THROUGH SELF HELP GROUPS City Municipal Council Haveri Haveri Karnataka 2500 /month 3 Months
1000,EFFECTIVENESS OF SHELTER FOR URBAN HOMELESS,Part Time,City Municipal Council Haveri,28-10-2024,Haveri,Karnataka,2500 /month,Immediately,3 Months,1.0,31-10-2024,EFFECTIVENESS OF SHELTER FOR URBAN HOMELESS City Municipal Council Haveri Haveri Karnataka 2500 /month 3 Months
1001,A STUDY ON PERFORMANCE OF WOMEN SHGS ISSUES AND CHALLENGES OF SELF HELP GROUPS,Part Time,City Municipal Council Haveri,28-10-2024,Haveri,Karnataka,2500 /month,Immediately,3 Months,1.0,31-10-2024,A STUDY ON PERFORMANCE OF WOMEN SHGS ISSUES AND CHALLENGES OF SELF HELP GROUPS City Municipal Council Haveri Haveri Karnataka 2500 /month 3 Months
1002,DAY-NULM/PM SVANIDHI INTERN,Part Time,City Municipal Council Puttur DK,28-10-2024,Puttur,Karnataka,2500 /month,Immediately,2 Months,3.0,08-11-2024,DAY-NULM/PM SVANIDHI INTERN City Municipal Council Puttur DK Puttur Karnataka 2500 /month 2 Months
1003,ROLE OF STREET VENDORS IN URBAN FOOD SYSTEMS,Part Time,City Municipal Council Haveri,30-10-2024,Haveri,Karnataka,2500 /month,Immediately,3 Months,1.0,31-10-2024,ROLE OF STREET VENDORS IN URBAN FOOD SYSTEMS City Municipal Council Haveri Haveri Karnataka 2500 /month 3 Months
1004,DAY-NULM AND PMSVANIDHI,Part Time,Kadaba Town Panchayath,30-10-2024,Puttur,Karnataka,2500 /month,Immediately,2 Months,3.0,08-11-2024,DAY-NULM AND PMSVANIDHI Kadaba Town Panchayath Puttur Karnataka 2500 /month 2 Months
1005,"DAY NULM IMPACT STUDY ON CITY LEVEL INTERVENTION ON SMID, SEP & SUSV",Part Time,CITY MUNICIPAL COUNIL NELAMANGALA,04-11-2024,Nelamangala,Karnataka,1666 /month,Immediately,3 Months,6.0,14-11-2024,"DAY NULM IMPACT STUDY ON CITY LEVEL INTERVENTION ON SMID, SEP & SUSV CITY MUNICIPAL COUNIL NELAMANGALA Nelamangala Karnataka 1666 /month 3 Months"
1006,FIELD INTERNS,Full Time,CITY MUNICIPAL COUNCIL Chikmagalur,05-11-2024,Chickmagalur,Karnataka,5000 /month,Immediately,6 Months,10.0,05-11-2024,FIELD INTERNS CITY MUNICIPAL COUNCIL Chikmagalur Chickmagalur Karnataka 5000 /month 6 Months
1007,STREET VENDOR,Part Time,TOWN MUNICIPAL COUNCIL CHIKKABANAVARA,05-11-2024,Bangalore,Karnataka,1620 /month,Immediately,3 Months,3.0,05-11-2024,STREET VENDOR TOWN MUNICIPAL COUNCIL CHIKKABANAVARA Bangalore Karnataka 1620 /month 3 Months
1008,SMID THE MOBILISATION OF URBAN POOR HOUSEHOLDS TO FORM THEIR OWN INSTITUTIONS IS AN IMPORTANT INVESTMENT FOR AN EFFECTIVE AND SUSTAINABLE POVERTY REDUCTION PROGRAMME AS ENVISAGED BY THE NATIONAL URBAN LIVELIHOODS MISSION.,Full Time,TOWN MUNICIPAL COUNCIL CHIKKABANAVARA,05-11-2024,Bangalore,Karnataka,1620 /month,Immediately,3 Months,3.0,05-11-2024,SMID THE MOBILISATION OF URBAN POOR HOUSEHOLDS TO FORM THEIR OWN INSTITUTIONS IS AN IMPORTANT INVESTMENT FOR AN EFFECTIVE AND SUSTAINABLE POVERTY REDUCTION PROGRAMME AS ENVISAGED BY THE NATIONAL URBAN LIVELIHOODS MISSION. TOWN MUNICIPAL COUNCIL CHIKKABANAVARA Bangalore Karnataka 1620 /month 3 Months
1009,"DAYNULM INTERN STUDY OF DAY-NULM ACTIVITIES LIKE PM-SVANIDHI SCHEME SMIDSELF EMPLOYMENT PROGRAMMES,",Part Time,TPC Shirahatti,05-11-2024,Shirahatti,Karnataka,1666 /month,Immediately,3 Months,2.0,06-11-2024,"DAYNULM INTERN STUDY OF DAY-NULM ACTIVITIES LIKE PM-SVANIDHI SCHEME SMIDSELF EMPLOYMENT PROGRAMMES, TPC Shirahatti Shirahatti Karnataka 1666 /month 3 Months"
1010,NULM TULIP INTERN,Full Time,GOKAK CMC,07-11-2024,Gokak,Karnataka,5000 /month,Immediately,3 Months,4.0,29-11-2024,NULM TULIP INTERN GOKAK CMC Gokak Karnataka 5000 /month 3 Months
1011,DAY-NULM/PM SVANIDHI INTERN,Part Time,Sullia Town Panchayath,07-11-2024,Sullia,Karnataka,1666.66 /month,Immediately,3 Months,1.0,13-11-2024,DAY-NULM/PM SVANIDHI INTERN Sullia Town Panchayath Sullia Karnataka 1666.66 /month 3 Months
1012,TULIP INTERNS UNDER DAY-NULM PROGRAMME,Part Time,Town Municipal Council Ron,07-11-2024,Ron,Karnataka,1667 /month,Immediately,03 Months,2.0,11-11-2024,TULIP INTERNS UNDER DAY-NULM PROGRAMME Town Municipal Council Ron Ron Karnataka 1667 /month 03 Months
1013,SMID EVALUATION,Part Time,Town Municipal Council Bannur,08-11-2024,Bannur,Karnataka,1600 /month,Immediately,3 Months,1.0,15-11-2024,SMID EVALUATION Town Municipal Council Bannur Bannur Karnataka 1600 /month 3 Months
1014,SUH EVALUATION,Part Time,Town Municipal Council Bannur,08-11-2024,Bannur,Karnataka,1600 /month,Immediately,3 Months,1.0,15-11-2024,SUH EVALUATION Town Municipal Council Bannur Bannur Karnataka 1600 /month 3 Months
1015,PM SVANIDHI INTERNSHIP,Part Time,Town Municipal Council Bannur,08-11-2024,Bannur,Karnataka,1600 /month,Immediately,3 Months,1.0,15-11-2024,PM SVANIDHI INTERNSHIP Town Municipal Council Bannur Bannur Karnataka 1600 /month 3 Months
1016,DAY NULM SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT,Part Time,Jigani Town Municipal Council,11-11-2024,Bangalore,Karnataka,1600 /month,Immediately,3 Months,1.0,15-11-2024,DAY NULM SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT Jigani Town Municipal Council Bangalore Karnataka 1600 /month 3 Months
1017,DAY NULM SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT,Part Time,TOWN MUNICIPAL COUNCIL MUNDARGI,11-11-2024,Mundargi,Karnataka,1650 /month,Immediately,3 Months,5.0,14-11-2024,DAY NULM SOCIAL MOBILISATION AND INSTITUTIONAL DEVELOPMENT TOWN MUNICIPAL COUNCIL MUNDARGI Mundargi Karnataka 1650 /month 3 Months
1018,"INTERN FOR URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR",Full Time,CITY MUNICIPAL COUNCIL CHITRADURGA,11-11-2024,Chitradurga,Karnataka,2500 /month,Immediately,2 Months,11.0,19-11-2024,"INTERN FOR URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR CITY MUNICIPAL COUNCIL CHITRADURGA Chitradurga Karnataka 2500 /month 2 Months"
1019,DAY NULM AND PMSVANIDHI,Full Time,TP Yadrami,12-11-2024,Kalburgi,Karnataka,Unpaid,Immediately,3 Months,4.0,27-11-2024,DAY NULM AND PMSVANIDHI TP Yadrami Kalburgi Karnataka Unpaid 3 Months
1020,DAY-NULM/PM SVANIDHI INTERN,Part Time,Mangaluru City Corporation,14-11-2024,Mangalore,Karnataka,1666.66 /month,Immediately,3 Months,14.0,21-11-2024,DAY-NULM/PM SVANIDHI INTERN Mangaluru City Corporation Mangalore Karnataka 1666.66 /month 3 Months
1021,DAYNULM INTERNS SOCIAL MOBILISATION AND INSTITUITIONAL DEVELOPMENT SEP SELF EMPLOYMENT PROGRAMME STREET VENDING,Part Time,Town Panchayat Peeranwadi,14-11-2024,Belagavi,Karnataka,1600 /month,Immediately,3 Months,2.0,18-11-2024,DAYNULM INTERNS SOCIAL MOBILISATION AND INSTITUITIONAL DEVELOPMENT SEP SELF EMPLOYMENT PROGRAMME STREET VENDING Town Panchayat Peeranwadi Belagavi Karnataka 1600 /month 3 Months
1022,DAY-NULM,Part Time,Bajape Town Panchayath,14-11-2024,Mangalore,Karnataka,1666.66 /month,Immediately,3 Months,1.0,21-11-2024,DAY-NULM Bajape Town Panchayath Mangalore Karnataka 1666.66 /month 3 Months
1023,DAY-NULM,Part Time,TOWN MUNICIPAL COUNCIL MOODUBIDIRE,14-11-2024,Moodbidri,Karnataka,1666.66 /month,Immediately,3 Months,2.0,23-11-2024,DAY-NULM TOWN MUNICIPAL COUNCIL MOODUBIDIRE Moodbidri Karnataka 1666.66 /month 3 Months
1024,DAY-NULM,Part Time,Ullal CMC,14-11-2024,Mangalore,Karnataka,1666.66 /month,Immediately,3 Months,3.0,21-11-2024,DAY-NULM Ullal CMC Mangalore Karnataka 1666.66 /month 3 Months
1025,DAYNULM INTERN,Full Time,Town Municipal Ramdurga,14-11-2024,Ramdurg,Karnataka,1600 /month,Immediately,3 Months,5.0,19-11-2024,DAYNULM INTERN Town Municipal Ramdurga Ramdurg Karnataka 1600 /month 3 Months
1026,SMID THE MOBILISATION OF URBAN POOR HOUSEHOLDS TO FORM THEIR OWN INSTITUTIONS IS AN IMPORTANT INVESTMENT FOR AN EFFECTIVE AND SUSTAINABLE POVERTY REDUCTION PROGRAMME AS ENVISAGED BY THE NATIONAL URBAN LIVELIHOODS MISSION.,Full Time,Shikaripura TMC,14-11-2024,Shikaripura,Karnataka,1666 /month,Immediately,3 Months,3.0,22-11-2024,SMID THE MOBILISATION OF URBAN POOR HOUSEHOLDS TO FORM THEIR OWN INSTITUTIONS IS AN IMPORTANT INVESTMENT FOR AN EFFECTIVE AND SUSTAINABLE POVERTY REDUCTION PROGRAMME AS ENVISAGED BY THE NATIONAL URBAN LIVELIHOODS MISSION. Shikaripura TMC Shikaripura Karnataka 1666 /month 3 Months
1027,DAY-NULM AND PM SVANIDHI,Part Time,TOWN MUNICIPAL COUNCIL MOODUBIDIRE,14-11-2024,Moodbidri,Karnataka,1666 /month,Immediately,3 Months,2.0,21-11-2024,DAY-NULM AND PM SVANIDHI TOWN MUNICIPAL COUNCIL MOODUBIDIRE Moodbidri Karnataka 1666 /month 3 Months
1028,DAY-NULM/PM SVANIDHI INTERN,Part Time,Vitla Town Panchayath,15-11-2024,Vitla,Karnataka,1666 /month,Immediately,3 Months,1.0,22-11-2024,DAY-NULM/PM SVANIDHI INTERN Vitla Town Panchayath Vitla Karnataka 1666 /month 3 Months
1029,TULIP INTERNSHIP CBP DAY NULM,Part Time,CITY MUNICIPAL COUNCIL CHICKBALLAPUR,15-11-2024,Chikkaballapur,Karnataka,1666 /month,Immediately,3 Months,3.0,19-11-2024,TULIP INTERNSHIP CBP DAY NULM CITY MUNICIPAL COUNCIL CHICKBALLAPUR Chikkaballapur Karnataka 1666 /month 3 Months
1030,DAY-NULM/PM SVANIDHI INTERN,Part Time,TOWN MUNICIPAL COUNCIL MOODUBIDIRE,15-11-2024,Moodbidri,Karnataka,1666 /month,Immediately,3 Months,2.0,22-11-2024,DAY-NULM/PM SVANIDHI INTERN TOWN MUNICIPAL COUNCIL MOODUBIDIRE Moodbidri Karnataka 1666 /month 3 Months
1031,"DAYNULM INTERN STUDY OF DAY-NULM ACTIVITIES LIKE PM-SVANIDHI SCHEME SMIDSELF EMPLOYMENT PROGRAMMES,",Part Time,CITY MUNICIPAL COUNCIL MUDHOL,16-11-2024,Mudhol,Karnataka,1600 /month,Immediately,3 Months,6.0,21-11-2024,"DAYNULM INTERN STUDY OF DAY-NULM ACTIVITIES LIKE PM-SVANIDHI SCHEME SMIDSELF EMPLOYMENT PROGRAMMES, CITY MUNICIPAL COUNCIL MUDHOL Mudhol Karnataka 1600 /month 3 Months"
1032,DAY-NULM AND PM SVANIDHI,Part Time,Bajape Town Panchayath,03-12-2024,Mangalore,Karnataka,1666 /month,Immediately,3 Months,1.0,11-12-2024,DAY-NULM AND PM SVANIDHI Bajape Town Panchayath Mangalore Karnataka 1666 /month 3 Months
1033,DAY NULM AND PMSVANIDHI,Part Time,Kinnigoli Town Panchayath,04-12-2024,Mangalore,Karnataka,1667 /month,Immediately,3 Months,1.0,14-12-2024,DAY NULM AND PMSVANIDHI Kinnigoli Town Panchayath Mangalore Karnataka 1667 /month 3 Months
1034,DAY NULM AND PMSVANIDHI,Part Time,Kadaba Town Panchayath,07-12-2024,Puttur,Karnataka,1666.66 /month,Immediately,3 Months,3.0,26-12-2024,DAY NULM AND PMSVANIDHI Kadaba Town Panchayath Puttur Karnataka 1666.66 /month 3 Months
1035,PMSVANIDHI AND DAYNULM INTERN,Part Time,Mangaluru City Corporation,10-12-2024,Mangalore,Karnataka,1666 /month,Immediately,3 Months,1.0,27-12-2024,PMSVANIDHI AND DAYNULM INTERN Mangaluru City Corporation Mangalore Karnataka 1666 /month 3 Months
1036,DAY-NULM/PM SVANIDHI INTERN,Part Time,Kinnigoli Town Panchayath,12-12-2024,Mangalore,Karnataka,1666.66 /month,Immediately,3 Months,1.0,20-12-2024,DAY-NULM/PM SVANIDHI INTERN Kinnigoli Town Panchayath Mangalore Karnataka 1666.66 /month 3 Months
1037,DAY-NULM AND PMSVANIDHI,Part Time,Kinnigoli Town Panchayath,17-12-2024,Mangalore,Karnataka,1666 /month,Immediately,3 Months,1.0,25-12-2024,DAY-NULM AND PMSVANIDHI Kinnigoli Town Panchayath Mangalore Karnataka 1666 /month 3 Months
1038,"INTERN FOR URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR DAY NULM SCHEME IN HOSKOTE CMC",Part Time,CITY MUNICIPAL COUNCIL HOSAKOTE,17-12-2024,Hoskote,Karnataka,1666 /month,Immediately,3 Months,5.0,19-12-2024,"INTERN FOR URBAN LIVELIHOOD, ENTERPRISE DEVELOPMENT OF URBAN POOR DAY NULM SCHEME IN HOSKOTE CMC CITY MUNICIPAL COUNCIL HOSAKOTE Hoskote Karnataka 1666 /month 3 Months"
1039,"DAY NULM IMPACT STUDY ON CITY LEVEL INTERVENTION ON SMID, SEP & SUSV",Part Time,TOWN MUNICIPAL COUNCIL DEVANAHALLI,21-12-2024,Devanahalli,Karnataka,1666 /month,Immediately,3 Months,3.0,23-12-2024,"DAY NULM IMPACT STUDY ON CITY LEVEL INTERVENTION ON SMID, SEP & SUSV TOWN MUNICIPAL COUNCIL DEVANAHALLI Devanahalli Karnataka 1666 /month 3 Months"
1040,DAY NULM AND PMSVANIDHI,Part Time,City Municipal Council Nippani,24-12-2024,Nippani,Karnataka,1600 /month,Immediately,12 Weeks,7.0,31-12-2024,DAY NULM AND PMSVANIDHI City Municipal Council Nippani Nippani Karnataka 1600 /month 12 Weeks
1041,"DAYNULM INTERN STUDY OF DAY-NULM ACTIVITIES LIKE PM-SVANIDHI SCHEME SMIDSELF EMPLOYMENT PROGRAMMES,",Part Time,TOWN MUNICIPAL COUNCIL VIJAYAPURA,26-12-2024,Vijayapura,Karnataka,1666 /month,Immediately,3 Months,4.0,27-12-2024,"DAYNULM INTERN STUDY OF DAY-NULM ACTIVITIES LIKE PM-SVANIDHI SCHEME SMIDSELF EMPLOYMENT PROGRAMMES, TOWN MUNICIPAL COUNCIL VIJAYAPURA Vijayapura Karnataka 1666 /month 3 Months"
1042,STUDY ON SMID   SHG S  ALF  CLF  AND MICRO ENTREPRENEURSHIP AND STUDY ON EDP,Full Time,UDUPI CMC,02-01-2025,Udipi,Karnataka,2500 /month,Immediately,10 Weeks,3.0,17-01-2025,STUDY ON SMID   SHG S  ALF  CLF  AND MICRO ENTREPRENEURSHIP AND STUDY ON EDP UDUPI CMC Udipi Karnataka 2500 /month 10 Weeks
1043,ANALYSING THE ROLE OF MICRO ENTREPRENEURSHIP AND SELF HELP GROUP IN WOMEN EMPOWERMENT AND DEVELOPMENT AND STUDYON URBAN HOMELESS SHELTER,Full Time,UDUPI CMC,02-01-2025,Udipi,Karnataka,2500 /month,Immediately,10 Weeks,4.0,17-01-2025,ANALYSING THE ROLE OF MICRO ENTREPRENEURSHIP AND SELF HELP GROUP IN WOMEN EMPOWERMENT AND DEVELOPMENT AND STUDYON URBAN HOMELESS SHELTER UDUPI CMC Udipi Karnataka 2500 /month 10 Weeks
1044,STUDY ON PMFME AND PM SVANIDHI,Full Time,UDUPI CMC,02-01-2025,Udipi,Karnataka,2500 /month,Immediately,10 Weeks,3.0,17-01-2025,STUDY ON PMFME AND PM SVANIDHI UDUPI CMC Udipi Karnataka 2500 /month 10 Weeks
1045,"DAYNULM INTERN STUDY OF DAY-NULM ACTIVITIES LIKE PM-SVANIDHI SCHEME SMIDSELF EMPLOYMENT PROGRAMMES,",Part Time,CITY MUNICIPAL COUNIL NELAMANGALA,06-01-2025,Nelamangala,Karnataka,1666 /month,Immediately,3 Months,6.0,07-01-2025,"DAYNULM INTERN STUDY OF DAY-NULM ACTIVITIES LIKE PM-SVANIDHI SCHEME SMIDSELF EMPLOYMENT PROGRAMMES, CITY MUNICIPAL COUNIL NELAMANGALA Nelamangala Karnataka 1666 /month 3 Months"
1046,TULIP INTERNS UNDER DAY-NULM PROGRAMME,Full Time,Shivamogga City Corporation,08-01-2025,Shivamogga,Karnataka,1666 /month,Immediately,6 Months,5.0,20-01-2025,TULIP INTERNS UNDER DAY-NULM PROGRAMME Shivamogga City Corporation Shivamogga Karnataka 1666 /month 6 Months
1047,SOCIO ECONOMIC UPLIFTMENT OF SHG MEMBERS,Full Time,Mission Directorate DAY NULM Jammu and Kashmir,22-05-2025,Jammu,Jammu And Kashmir,Unpaid,Immediately,2 Months,3.0,23-05-2025,SOCIO ECONOMIC UPLIFTMENT OF SHG MEMBERS Mission Directorate DAY NULM Jammu and Kashmir Jammu Jammu And Kashmir Unpaid 2 Months
1048,"SHORT TERM INTERNSHIP PROGEAME UNDER DAY-NULM, TEZPUR",Part Time,DAY NULM CMMU,03-07-2025,Tezpur,Assam,Unpaid,Immediately,8 Weeks,2.0,10-07-2025,"SHORT TERM INTERNSHIP PROGEAME UNDER DAY-NULM, TEZPUR DAY NULM CMMU Tezpur Assam Unpaid 8 Weeks"
1049,SANITARY INSPECTOR,Full Time,NAGAR PANCHAYAT MOKHADA,13-09-2022,Palghar,Maharashtra,5000 /month,Immediately,12 Months,1.0,10-10-2022,SANITARY INSPECTOR NAGAR PANCHAYAT MOKHADA Palghar Maharashtra 5000 /month 12 Months
1050,CLERK CUM DATA OPERATOR,Full Time,NAGAR PANCHAYAT MOKHADA,13-09-2022,Palghar,Maharashtra,5000 /month,Immediately,12 Months,1.0,03-11-2022,CLERK CUM DATA OPERATOR NAGAR PANCHAYAT MOKHADA Palghar Maharashtra 5000 /month 12 Months
1051,SPECIAL PURPOSE 05,Full Time,Nagar Palika Parishad Pt Deendayal Upadhyay Nagar,17-09-2022,Chandauli,Uttar Pradesh,7000 /month,Immediately,6 Months,1.0,30-09-2022,SPECIAL PURPOSE 05 Nagar Palika Parishad Pt Deendayal Upadhyay Nagar Chandauli Uttar Pradesh 7000 /month 6 Months
1052,SWM INTER IN CHANDIGARH,Full Time,Punjab Municipal Infrastructure Development Company,22-09-2022,Chandigarh,Punjab,12000 /month,Immediately,6 Months,2.0,26-09-2022,SWM INTER IN CHANDIGARH Punjab Municipal Infrastructure Development Company Chandigarh Punjab 12000 /month 6 Months
1053,IT ENGINEER,Full Time,Jabalpur Smart City Limited,20-10-2022,Jabalpur,Madhya Pradesh,5000 /month,Immediately,2 Months,5.0,28-10-2022,IT ENGINEER Jabalpur Smart City Limited Jabalpur Madhya Pradesh 5000 /month 2 Months
1054,INTERNS FOR ASSISTING IN SANITATION SWACHH BHARAT MISSION (URBAN) IN URBAN ODISHA.,Full Time,Housing and Urban development Department Odisha,11-11-2022,Bhubaneswar,Odisha,15000 /month,Immediately,3 -12 months,100.0,31-08-2024,INTERNS FOR ASSISTING IN SANITATION SWACHH BHARAT MISSION (URBAN) IN URBAN ODISHA. Housing and Urban development Department Odisha Bhubaneswar Odisha 15000 /month 3 -12 months
1055,1. COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN,Full Time,Municipal Corporation Chandigarh,16-11-2022,Chandigarh,Chandigarh,10000 /month,Immediately,3 Months,1.0,25-11-2022,1. COMMUNICATIONS INTERNS FOR SWACHH BHARAT MISSION URBAN Municipal Corporation Chandigarh Chandigarh Chandigarh 10000 /month 3 Months
1056,2. INTERNS FOR ASSISTING MCC IN ACHIEVING SBM2.0 TARGETS,Full Time,Municipal Corporation Chandigarh,16-11-2022,Chandigarh,Chandigarh,10000 /month,Immediately,3 Months,1.0,25-11-2022,2. INTERNS FOR ASSISTING MCC IN ACHIEVING SBM2.0 TARGETS Municipal Corporation Chandigarh Chandigarh Chandigarh 10000 /month 3 Months
1057,3. INTERNS FOR ASSISTING MCC IN ACHIEVING SBM2.0 TARGETS,Full Time,Municipal Corporation Chandigarh,16-11-2022,Chandigarh,Chandigarh,10000 /month,Immediately,3 Months,1.0,25-11-2022,3. INTERNS FOR ASSISTING MCC IN ACHIEVING SBM2.0 TARGETS Municipal Corporation Chandigarh Chandigarh Chandigarh 10000 /month 3 Months
1058,URBAN POLICY AND GOVERNANCE,Full Time,Nagpur Smart and Sustainable City Development Corporation Limited,17-11-2022,Nagpur,Maharashtra,8000 /month,Immediately,2 Months,1.0,17-11-2022,URBAN POLICY AND GOVERNANCE Nagpur Smart and Sustainable City Development Corporation Limited Nagpur Maharashtra 8000 /month 2 Months
1059,SBM INTERNSHIP,Full Time,TMC SAKLESHPURA,23-11-2022,Sakleshpur,Karnataka,10000 /month,Immediately,2 Months,2.0,30-09-2023,SBM INTERNSHIP TMC SAKLESHPURA Sakleshpur Karnataka 10000 /month 2 Months
1060,STORE AND LOGISTIC MANAGEMENT,Full Time,Nagar Palika Parishad Pt Deendayal Upadhyay Nagar,24-11-2022,Chandauli,Uttar Pradesh,10000 /month,Immediately,12 Months,1.0,01-12-2022,STORE AND LOGISTIC MANAGEMENT Nagar Palika Parishad Pt Deendayal Upadhyay Nagar Chandauli Uttar Pradesh 10000 /month 12 Months
1061,SWACCH BHARAT MISSION,Full Time,Town Municipal Council,24-11-2022,Channarayapatna,Karnataka,5000 /month,Immediately,12 Months,1.0,31-12-2022,SWACCH BHARAT MISSION Town Municipal Council Channarayapatna Karnataka 5000 /month 12 Months
1062,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Town Municipal Council,24-11-2022,Channarayapatna,Karnataka,5000 /month,Immediately,12 Months,1.0,31-12-2022,SOURCE SEGREGATION CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN Town Municipal Council Channarayapatna Karnataka 5000 /month 12 Months
1063,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN,Full Time,Town Municipal Council,24-11-2022,Channarayapatna,Karnataka,5000 /month,Immediately,12 Months,1.0,31-12-2022,SOCIAL MEDIA CAMPAIGN INTERN FOR SWACHH BHARAT MISSION URBAN Town Municipal Council Channarayapatna Karnataka 5000 /month 12 Months
1064,DOOR TO DOOR WASTE  CLLACTION,Full Time,Municipal Council Chaibasa,25-11-2022,Chaibasa,Jharkhand,Unpaid,Immediately,6Months,5.0,14-12-2022,DOOR TO DOOR WASTE  CLLACTION Municipal Council Chaibasa Chaibasa Jharkhand Unpaid 6Months
1065,SBM INTERN WASH,Full Time,Jaipur Smart City Limited,25-11-2022,Jaipur,Rajasthan,Unpaid,Immediately,6 Months,1.0,02-12-2022,SBM INTERN WASH Jaipur Smart City Limited Jaipur Rajasthan Unpaid 6 Months
